epoch,accuracy,auc,f1_score,loss,lr,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.8597977757453918,0.6786864399909973,0.20956052839756012,3.6123039722442627,1e-04,0.35594192147254944,0.1502479910850525,0.882267415523529,0.788235068321228,0.31471744179725647,2.2876479625701904,0.576206624507904,0.21979974210262299
1,0.8711087107658386,0.7448161840438843,0.266213983297348,3.1967780590057373,1e-04,0.4618953466415405,0.18867696821689606,0.8864462375640869,0.8171645998954773,0.3190560042858124,2.1468424797058105,0.6342965364456177,0.21624676883220673
2,0.8756552934646606,0.7639589309692383,0.281401127576828,3.044516086578369,1e-04,0.5067455172538757,0.19690309464931488,0.8894945383071899,0.8263278603553772,0.3388170599937439,2.092428207397461,0.6693395972251892,0.2291666716337204
3,0.8790777921676636,0.7848905324935913,0.2962360680103302,2.9019110202789307,1e-04,0.5431190729141235,0.2054518312215805,0.8913517594337463,0.8343564867973328,0.35125496983528137,2.0431225299835205,0.6885474920272827,0.23885658383369446
4,0.8815980553627014,0.7963436245918274,0.3099960684776306,2.8149819374084473,1e-04,0.5700374245643616,0.21480704843997955,0.8922803401947021,0.8397133946418762,0.36139652132987976,2.0004284381866455,0.6924460530281067,0.24870800971984863
5,0.8836596012115479,0.8055886626243591,0.322647362947464,2.737887382507324,1e-04,0.591421902179718,0.2240816205739975,0.8926437497138977,0.845364511013031,0.3601408898830414,1.956309199333191,0.7002750039100647,0.24677002429962158
6,0.885615348815918,0.8137413263320923,0.3316804766654968,2.6672229766845703,1e-04,0.6135677099227905,0.22940440475940704,0.892562985420227,0.8455833792686462,0.3690192997455597,1.9312115907669067,0.6906222701072693,0.2545219659805298
7,0.8860135674476624,0.8213095664978027,0.3320939242839813,2.5983846187591553,1e-04,0.619125485420227,0.22896084189414978,0.8939155340194702,0.8522830009460449,0.3825550675392151,1.8797773122787476,0.6975959539413452,0.2671188712120056
8,0.8876718878746033,0.8262495994567871,0.3407328426837921,2.5431904792785645,1e-04,0.638010561466217,0.23432396352291107,0.8956920504570007,0.8557302951812744,0.3929513692855835,1.8402392864227295,0.7145249247550964,0.2756783068180084
9,0.8884985446929932,0.8323206305503845,0.3463355600833893,2.486649751663208,1e-04,0.6465309858322144,0.23823541402816772,0.8950258493423462,0.8582635521888733,0.396253377199173,1.8075478076934814,0.6998388171195984,0.28052327036857605
10,0.8898140788078308,0.8362616300582886,0.3591085374355316,2.4440577030181885,1e-04,0.6555191278457642,0.24976813793182373,0.8956718444824219,0.8602245450019836,0.3912273943424225,1.7758901119232178,0.7173174619674683,0.27293282747268677
11,0.8910742402076721,0.8422120809555054,0.3661835193634033,2.3891379833221436,1e-04,0.669429361820221,0.25404250621795654,0.8957121968269348,0.8594244718551636,0.39319828152656555,1.7581123113632202,0.7168216109275818,0.2739018201828003
12,0.8908524513244629,0.8433272242546082,0.365575909614563,2.3626747131347656,1e-04,0.6663845181465149,0.25396186113357544,0.8971051573753357,0.864997386932373,0.4069991707801819,1.7142446041107178,0.722651481628418,0.2869831919670105
13,0.8914976119995117,0.8474245667457581,0.36849159002304077,2.319657802581787,1e-04,0.6741142868995667,0.2554941773414612,0.8961361646652222,0.8635303974151611,0.4076027274131775,1.70431649684906,0.7048923969268799,0.2908591628074646
14,0.8924906253814697,0.8501447439193726,0.37667810916900635,2.288140296936035,1e-04,0.6819421052932739,0.2622283101081848,0.8953084349632263,0.8627452850341797,0.3948958218097687,1.69265878200531,0.7073372006416321,0.2771317958831787
