epoch,accuracy,auc,f1_score,loss,lr,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.8545606732368469,0.6780771613121033,0.2024398148059845,3.6439225673675537,1e-04,0.3230648338794708,0.14928022027015686,0.8726784586906433,0.7833756804466248,0.29783567786216736,2.3273112773895264,0.4795154929161072,0.21737726032733917
1,0.8674795627593994,0.7601930499076843,0.2795938551425934,3.1322314739227295,1e-04,0.43664005398750305,0.20730674266815186,0.879461407661438,0.8156229257583618,0.33129245042800903,2.158111572265625,0.53973388671875,0.24240955710411072
2,0.8741229772567749,0.7876274585723877,0.3061453700065613,2.9236879348754883,1e-04,0.4922872483730316,0.2239203155040741,0.883377730846405,0.8319516777992249,0.3584209680557251,2.0645182132720947,0.5728837251663208,0.26340439915657043
3,0.8772127628326416,0.8038710951805115,0.32040590047836304,2.8004543781280518,1e-04,0.5197126269340515,0.23335617780685425,0.8850129246711731,0.8350129723548889,0.37222403287887573,2.038339138031006,0.5846994519233704,0.276485800743103
4,0.881310760974884,0.8179121017456055,0.335315465927124,2.687368631362915,1e-04,0.5583628416061401,0.24150167405605316,0.8873142600059509,0.8478708267211914,0.379565566778183,1.9489189386367798,0.6071679592132568,0.27906978130340576
5,0.8828783631324768,0.8250930905342102,0.338701456785202,2.611424684524536,1e-04,0.5747918486595154,0.24218718707561493,0.890887439250946,0.8549705147743225,0.3927997052669525,1.8852612972259521,0.6430388689041138,0.28569120168685913
6,0.8842594623565674,0.8316580653190613,0.3432133197784424,2.547978162765503,1e-04,0.589374303817749,0.24424372613430023,0.8902212381362915,0.8573378324508667,0.3848439157009125,1.8558933734893799,0.6398367881774902,0.278585284948349
7,0.8872081637382507,0.8399190306663513,0.3569510877132416,2.4757511615753174,1e-04,0.6195458769798279,0.2530747354030609,0.8924014568328857,0.8589011430740356,0.40128642320632935,1.8250243663787842,0.6568413376808167,0.2915051579475403
8,0.8876718878746033,0.8442453145980835,0.3639286160469055,2.4302897453308105,1e-04,0.6213554739952087,0.2595265805721283,0.890625,0.8576859831809998,0.3957407474517822,1.814997911453247,0.6366525292396545,0.29118216037750244
9,0.8893806338310242,0.8494897484779358,0.3719978332519531,2.3713104724884033,1e-04,0.6387780904769897,0.2647687494754791,0.8913517594337463,0.8623349666595459,0.39416244626045227,1.7712857723236084,0.6482430696487427,0.286014199256897
10,0.8902022242546082,0.8535385727882385,0.3773409426212311,2.3338770866394043,1e-04,0.6464077830314636,0.2684785723686218,0.8922197818756104,0.8608863949775696,0.4032132625579834,1.7624355554580688,0.6517253518104553,0.29586562514305115
11,0.8899350762367249,0.8560881018638611,0.37298041582107544,2.2958199977874756,1e-04,0.6458600163459778,0.2645267844200134,0.8929667472839355,0.8677316904067993,0.39537909626960754,1.707903265953064,0.6690729260444641,0.28439921140670776
12,0.8911800980567932,0.8593521118164062,0.37966296076774597,2.2599124908447266,1e-04,0.6585968136787415,0.2687608301639557,0.8924014568328857,0.8617876768112183,0.412312775850296,1.7301888465881348,0.6477038860321045,0.30523255467414856
13,0.8920470476150513,0.8619411587715149,0.38831597566604614,2.229253053665161,1e-04,0.6636979579925537,0.27646276354789734,0.8940972089767456,0.868009626865387,0.4082980155944824,1.675166368484497,0.6740249991416931,0.29586562514305115
14,0.8924704790115356,0.8639647960662842,0.39080503582954407,2.2023463249206543,1e-04,0.6676339507102966,0.2783176600933075,0.893410861492157,0.8682363033294678,0.40813300013542175,1.6630971431732178,0.6639108657836914,0.29828810691833496
15,0.8933878540992737,0.8685702681541443,0.3966342806816101,2.1616835594177246,1e-04,0.6753509044647217,0.2832775413990021,0.8966004252433777,0.8732619285583496,0.4341110289096832,1.6256861686706543,0.683093786239624,0.3223514258861542
16,0.894416093826294,0.8698505163192749,0.4082581698894501,2.1429758071899414,1e-04,0.679429829120636,0.29408442974090576,0.8957526087760925,0.8746949434280396,0.4260670244693756,1.6063045263290405,0.6792189478874207,0.31459948420524597
17,0.8942295908927917,0.8704423904418945,0.40560558438301086,2.124429225921631,1e-04,0.6795294284820557,0.29114076495170593,0.8940568566322327,0.8725258111953735,0.4171106517314911,1.6079093217849731,0.6656140089035034,0.306363046169281
18,0.8950461745262146,0.8719022274017334,0.4112795293331146,2.106855869293213,1e-04,0.6861368417739868,0.29557642340660095,0.8965398669242859,0.8781355023384094,0.4326612055301666,1.5686566829681396,0.6850503087043762,0.31895995140075684
19,0.8946378827095032,0.8722509145736694,0.4098876416683197,2.096590757369995,1e-04,0.6811082363128662,0.29541513323783875,0.8957526087760925,0.8756257891654968,0.42671191692352295,1.5722441673278809,0.6797202825546265,0.3139534890651703
20,0.8952276110649109,0.8746426105499268,0.4121890068054199,2.0707197189331055,1e-04,0.6874358057975769,0.29674583673477173,0.8966004252433777,0.8771268725395203,0.4338929355144501,1.5558065176010132,0.6837225556373596,0.32154393196105957
21,0.8960492610931396,0.8766785264015198,0.41874000430107117,2.0487139225006104,1e-04,0.6927621960639954,0.30259284377098083,0.8974887132644653,0.874438464641571,0.4408442974090576,1.5633639097213745,0.6895847320556641,0.3271963894367218
22,0.8965331315994263,0.8773537874221802,0.4235396385192871,2.0384535789489746,1e-04,0.6953182220458984,0.30662527680397034,0.8957929611206055,0.877328097820282,0.429728239774704,1.542082667350769,0.6762491464614868,0.31912145018577576
23,0.8969615697860718,0.8771401047706604,0.4270048141479492,2.0297887325286865,1e-04,0.697919487953186,0.3097705543041229,0.8971253037452698,0.8797053694725037,0.4347432255744934,1.5194287300109863,0.6902777552604675,0.3210594356060028
24,0.8971430063247681,0.879690408706665,0.42784789204597473,2.0062081813812256,1e-04,0.6995548009872437,0.31049638986587524,0.8975492715835571,0.8810344934463501,0.43281182646751404,1.504982829093933,0.6968628764152527,0.3192829489707947
